title,date,category,link
Houston Transplant Doctor Indicted For Making False Statements In Patients’ Medical Records,"February 5, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/houston-transplant-doctor-indicted-for-making-false-statements-in-patients-medical-records/
MultiCare Health System to Pay Millions to Settle Fraud Case,"February 4, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/multicare-health-system-to-pay-millions-to-settle-fraud-case/
Brooklyn Banker Pleads Guilty to Laundering Proceeds of Medicare Fraud for Transnational Criminal Organization,"February 3, 2026",COVID-19,https://oig.hhs.gov/fraud/enforcement/brooklyn-banker-pleads-guilty-to-laundering-proceeds-of-medicare-fraud-for-transnational-criminal-organization/
Delafield Man Sentenced to 18 Months’ Imprisonment for Conspiracy to Pay Health Care Kickbacks,"February 3, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/delafield-man-sentenced-to-18-months-imprisonment-for-conspiracy-to-pay-health-care-kickbacks/
Former NFL Player Convicted for $197M Medicare Fraud,"February 3, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-nfl-player-convicted-for-197m-medicare-fraud/
Attorney General Hanaway Obtains Medicaid Fraud Conviction Against Couple Lying About Marital Status To Steal Funds,"February 3, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-hanaway-obtains-medicaid-fraud-conviction-against-couple-lying-about-marital-status-to-steal-funds/
"AG's Office Secures Indictments Against Peabody Alcohol and Drug Counselor and Her Businesses for More Than $850,000 in MassHealth Fraud","February 2, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ags-office-secures-indictments-against-peabody-alcohol-and-drug-counselor-and-her-businesses-for-more-than-850000-in-masshealth-fraud/
Florida Man Pleads Guilty to Conspiracy to Violate the Anti-Kickback Statute,"January 30, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-pleads-guilty-to-conspiracy-to-violate-the-anti-kickback-statute/
Forefront Living Hospice Agreed to Pay $1.9 Million for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Identified the Incorrect Provider or Were Performed by Non-enrolled or Incorrect Providers,"January 30, 2026",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/forefront-living-hospice-agreed-to-pay-19-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-identified-the-incorrect-provider-or-were-performed-by-non-enrolled-or-incorrect-providers/
Attorney General Jeff Jackson Announces Health Care Fraud Conviction and Settlement,"January 30, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-jeff-jackson-announces-health-care-fraud-conviction-and-settlement/
Yadkinville Woman Sentenced in Connection with Multi-Million Dollar Medicaid Fraud Scheme,"January 29, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/yadkinville-woman-sentenced-in-connection-with-multi-million-dollar-medicaid-fraud-scheme/
Attorney General Labrador Announces Sentencing of Kootenai County Woman for Public Assistance Provider Fraud,"January 29, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-labrador-announces-sentencing-of-kootenai-county-woman-for-public-assistance-provider-fraud/
Attorney General Hanaway Obtains Medicaid Fraud Conviction For Services Not Provided,"January 29, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-hanaway-obtains-medicaid-fraud-conviction-for-services-not-provided/
"Holmes Regional Medical Center Agreed to Pay $113,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide an Appropriate Medical Screening Examination","January 28, 2026",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/holmes-regional-medical-center-agreed-to-pay-113000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-an-appropriate-medical-screening-examination/
Slidell Chiropractor Sentenced for Health Care Fraud,"January 28, 2026",COVID-19,https://oig.hhs.gov/fraud/enforcement/slidell-chiropractor-sentenced-for-health-care-fraud/
Repeat Health Care Fraud Offender Sentenced for Defrauding New Hampshire Medicaid,"January 28, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/repeat-health-care-fraud-offender-sentenced-for-defrauding-new-hampshire-medicaid/
"Scranton Heart Institute Agrees To Pay $48,709.20 To Settle False Claims Act Allegations","January 28, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/scranton-heart-institute-agrees-to-pay-4870920-to-settle-false-claims-act-allegations/
Rheumatologist Agrees To Resolve False Claims Act Allegations Related To Unapproved Drugs,"January 28, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/rheumatologist-agrees-to-resolve-false-claims-act-allegations-related-to-unapproved-drugs/
Attorney General James Uthmeier Announces Arrests in Central Florida Medicaid Fraud Scheme,"January 28, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-uthmeier-announces-arrests-in-central-florida-medicaid-fraud-scheme/
"Cordell Memorial Hospital Agreed to Pay $40,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide an Appropriate Medical Screening Examination","January 27, 2026",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/cordell-memorial-hospital-agreed-to-pay-40000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-an-appropriate-medical-screening-examination/
Syracuse Area Man Pleads Guilty to Operating Kickback Scheme Involving Medicare and Medicaid,"January 27, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/syracuse-area-man-pleads-guilty-to-operating-kickback-scheme-involving-medicare-and-medicaid/
Attorney General Jeff Jackson Announces $8.8 Million Health Care Fraud Settlement,"January 27, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-jeff-jackson-announces-88-million-health-care-fraud-settlement/
Attorney General Alan Wilson Announces Nurse Aide Charged With Assaulting Assisted Living Patient,"January 27, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-nurse-aide-charged-with-assaulting-assisted-living-patient/
"Two Home Health Providers Agree to Pay $702,541 to Resolve Self-Referral Allegations","January 26, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-home-health-providers-agree-to-pay-702541-to-resolve-self-referral-allegations/
